"Item_ID","Item_type_recode","Story_or_not","whether_figure_table","stem_nwords_raw","stem_num_operation","stem_sent_len_A_correct","stem_word_diversity","stem_mean_word_length"
"M031128",0,0,0,0,3,0,0,0
"M031016",0,1,0,25,4,6.25,0.84,5.04
"M031183",0,1,1,43,3,10.75,0.627906977,4.11627907
"M031187",1,1,0,21,1,7,0.80952381,4.095238095
"M031251",1,1,1,19,0,9.5,0.631578947,3.421052632
"M031294",1,1,1,8,0,8,1,3.75
"M031297",0,0,1,18,2,9,0.777777778,3.944444444
"M031218",1,1,0,27,2,13.5,0.777777778,4.185185185
"M031109",1,0,0,15,0,15,0.933333333,4.333333333
"M031159",1,0,1,17,1,8.5,0.882352941,4.529411765
"M031133",0,1,1,33,1,8.25,0.787878788,4.727272727
"M041107",1,1,0,17,2,5.66666666666667,0.941176471,5
"M041011",1,0,0,5,2,5,1,4.2
"M041122",0,0,0,8,12,4,1,4
"M041041",1,0,0,6,3,6,1,4.5
"M041320",1,1,0,8,1,8,1,4.125
"M041115A",0,1,1,11,0,5.5,1,4.545454545
"M041115B",0,1,1,18,0,9,0.888888889,4.388888889
"M041160A",0,1,1,20,0,6.66666666666667,0.65,3.55
"M041160B",0,1,1,28,0,7,0.642857143,3.392857143
"M041327",0,0,1,8,0,8,1,4
"M041148",0,0,1,61,0,8.71428571428571,0.62295082,3.557377049
"M041265",1,1,0,17,0,8.5,0.941176471,5.705882353
"M041175",1,1,1,24,0,12,0.75,3.875
"M041199",1,1,1,27,0,13.5,0.851851852,4.703703704
"M031210",1,0,0,7,1,7,1,4.714285714
"M031009",0,1,0,32,3,10.6666666666667,0.6875,4.28125
"M031252",1,0,0,18,4,18,0.722222222,4.277777778
"M031316",0,0,0,12,3,6,0.916666667,4.166666667
"M031317",1,0,0,12,5,6,0.916666667,4.166666667
"M031079B",0,0,1,27,1,5.4,0.888888889,4.037037037
"M031079C",0,0,1,26,1,8.66666666666667,0.884615385,4.307692308
"M031004",1,0,1,18,0,18,0.888888889,4.222222222
"M031043",1,1,0,20,3,6.66666666666667,0.85,4.3
"M031325",0,0,0,16,2,16,0.875,4.25
"M031088",1,1,1,21,0,7,0.761904762,4.142857143
"M031093",1,0,0,14,0,14,0.785714286,4.142857143
"M031155",1,1,1,27,0,13.5,0.777777778,3.851851852
