"Content_domain.Data Display","Content_domain.Geometric Shapes and Measures","Content_domain.Number","Cognitive_domain.Applying","Cognitive_domain.Knowing","Cognitive_domain.Reasoning"
0,0,1,0,1,0
0,0,1,0,0,1
0,0,1,1,0,0
0,0,1,1,0,0
0,0,1,1,0,0
1,0,0,0,1,0
0,1,0,1,0,0
0,0,1,1,0,0
0,1,0,0,1,0
0,1,0,0,1,0
1,0,0,1,0,0
0,0,1,1,0,0
0,0,1,0,1,0
0,0,1,0,1,0
0,0,1,0,1,0
0,0,1,0,1,0
0,0,1,1,0,0
0,0,1,0,0,1
0,1,0,0,1,0
0,1,0,1,0,0
0,1,0,1,0,0
0,1,0,0,1,0
0,1,0,0,0,1
1,0,0,0,1,0
1,0,0,0,0,1
0,0,1,0,1,0
0,0,1,1,0,0
0,0,1,1,0,0
0,0,1,0,1,0
0,0,1,0,1,0
0,0,1,1,0,0
0,0,1,0,0,1
0,1,0,1,0,0
0,0,1,1,0,0
0,1,0,1,0,0
0,1,0,1,0,0
0,1,0,0,1,0
1,0,0,1,0,0
